Sku_ID,pro_code,pro_name,total_rating_count,average_rating,img_url,short_description,search_keyword,product_url,Product_Rank,Page_No,TimeStamp,Price,Price_per_unit
5N0AMHTQS04N,PRD5N0AMHTQS04N,Arizona Green Tea,,,https://i5.walmartimages.com/asr/1804a053-6ab0-4718-bbc4-a07bb51ea84d_1.88c8aac38d7cb386cfe836f851224fb8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD5N0AMHTQS04N,34,9,12/8/2022 6:18,2.99,
48WIJM4M7PWZ,PRD48WIJM4M7PWZ,Green Tea Recyclable,,,https://i5.walmartimages.com/asr/5ad5351a-20da-4e7c-9ee2-dc2d2b57c731.2573b2fd0cf087557f1741d2a2d1602c.png?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD48WIJM4M7PWZ,35,9,12/8/2022 6:18,90.99,
235QI9S5BPWG,PRD235QI9S5BPWG,"Numi Tea - Gunpowder Green Tea - 18 Bags, 1.2 Oz",,,https://i5.walmartimages.com/asr/4f474d41-d972-4fad-b493-31460faaefb8.7214b3450f0695962904fd9509fa9fc5.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD235QI9S5BPWG,36,9,12/8/2022 6:18,9.09,
5WH9M6VBYX6X,PRD5WH9M6VBYX6X,2Pcs Tea Kettle for Stovetop Teapot for Resistant Stainless Steel Pot Loose Tea,,,https://i5.walmartimages.com/asr/5d6f0e42-037d-4cad-863b-637cde8a4263.a76368fb2395fec35057fce8619eb9b0.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD5WH9M6VBYX6X,37,9,12/8/2022 6:18,29.73,
71SD3FWJGCX4,PRD71SD3FWJGCX4,Large Capacity Glass Tea Pot and Cups for Iced Tea Cold/Hot Water Beverage,,,https://i5.walmartimages.com/asr/53738136-067f-488c-81ff-11f9701cd836.9a326e84c84e64f739045305a6319e4b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD71SD3FWJGCX4,38,9,12/8/2022 6:18,69.16,
6XJTVG2WTE7I,PRD6XJTVG2WTE7I,Pure Leaf Organic Green Tea with Jasmine Pyramid Tea Sachets - 25/Box,,,https://i5.walmartimages.com/asr/5203543e-ffbb-4411-910f-b44408183858.165d792342ac7ab0447e88117a1dab8f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD6XJTVG2WTE7I,39,9,12/8/2022 6:18,25.98,
51JB57I1DC1H,PRD51JB57I1DC1H,Pure Organic Orange Pekoe Black Ceylon Tea in Pyramid Tea Bags - 24 pyramid Tea Bags x 2g - Citea,,,https://i5.walmartimages.com/asr/7150e595-a2f8-46c9-adf0-de294d0dafbe.f2b2d17023c427056dd9332d366ccd7d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD51JB57I1DC1H,40,9,12/8/2022 6:18,14.85,
7FI92NIEVFQ0,PRD7FI92NIEVFQ0,"Tea Pot with Infusers for Loose Tea, Clear Glass Teapot with Removable 304 Strainer Steel Infuser,Stovetop Safe Tea Maker 600 ml/20 oz",,,https://i5.walmartimages.com/asr/ffa07965-0664-4314-91da-c5ff1969f165.f9dbdff868154642220607a759770677.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD7FI92NIEVFQ0,41,9,12/8/2022 6:18,42.73,
6W72QL6CJV1H,PRD6W72QL6CJV1H,Fortunenine 1 Set Glass Teapot with Removable Infuser Glass Tea Kettle with 2 Glass Cup Stovetop Tea Kettle for Loose Leaf Tea,,,https://i5.walmartimages.com/asr/b2b931ed-2d22-4996-90c5-6b5b18070f42.9766c31e9753019d868c2f648114cd53.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD6W72QL6CJV1H,42,9,12/8/2022 6:18,92.98,
1O1I2KQTDN6K,PRD1O1I2KQTDN6K,"Tea Pot with Infusers for Loose Tea, Clear Glass Teapot with Removable 304 Strainer Steel Infuser,Stovetop Safe Tea Maker 600 ml/20 oz",,,https://i5.walmartimages.com/asr/541f7a7d-bd12-40df-b818-ee4cc35b160f.6199484249dfae72f056fc8d657067f6.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD1O1I2KQTDN6K,43,9,12/8/2022 6:18,42.73,
1Q9XKIKN4F1Q,PRD1Q9XKIKN4F1Q,Lonbiaci Glass Teapot Clear Heat-resistan Tea Kettle Removable Loose Tea Glass Infuser Home Water Bottle for Home Tea Maker 600ml,,,https://i5.walmartimages.com/asr/52190e00-cfd6-40da-a21b-4613aacf4f27.4fd0ef151e3cb33c31c6a647983f400c.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD1Q9XKIKN4F1Q,44,9,12/8/2022 6:18,41.58,
4KQ4IK437CE8,PRD4KQ4IK437CE8,"Tea Pot with Infusers for Loose Tea, Clear Glass Teapot with Removable 304 Strainer Steel Infuser,Stovetop Safe Tea Maker 600 ml/20 oz",,,https://i5.walmartimages.com/asr/2b57b46e-b27d-4590-bcc8-4959edf7886b.0ced870d6543903c70c40d55025f65b1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD4KQ4IK437CE8,45,9,12/8/2022 6:18,37.12,
1YO5F65MLFOE,PRD1YO5F65MLFOE,Tetsubin Tea Pots Japanese Style Iron Teapots Durable Teapots Tea Kettle Teapot Kettle with Stainless Steel Infuser for Kitchen Tea 600mL,,,https://i5.walmartimages.com/asr/3f98dd11-d578-43a8-91e2-39ef913f1a49.64cae18cf6814b6c85eaa2947e246b9d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD1YO5F65MLFOE,46,9,12/8/2022 6:18,72.28,
28T2YKTT9LJT,PRD28T2YKTT9LJT,Teapot With Infuser Loose Tea Leaf 2 Liter Stainless Steel Tea Pot,,,https://i5.walmartimages.com/asr/615ff7ab-e379-4996-a328-0dec42d9066a.0f2e535462cd45f064d84d7b1301c861.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD28T2YKTT9LJT,47,9,12/8/2022 6:18,47.11,
4NK1UWTDSJRQ,PRD4NK1UWTDSJRQ,Stainless Steel Whistling Tea Pot with Wooden Handle Cooking Teapot Tea Coffee,,,https://i5.walmartimages.com/asr/22073d1a-9c07-490f-9086-ff6a1469fff5.d45a5c043e80d5c0e2503f96d29da65d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD4NK1UWTDSJRQ,48,9,12/8/2022 6:18,54.88,
3XNP9S18ZC3T,PRD3XNP9S18ZC3T,Lipton® LIPTJL00291 Tea,,,https://i5.walmartimages.com/asr/36d43eef-079b-4a2a-b371-cb11e2532176.5c2c5ad038108c19ac7e5f94cda3b732.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD3XNP9S18ZC3T,49,9,12/8/2022 6:18,26.53,
6AWGQ1X67VC8,PRD6AWGQ1X67VC8,Tazo TZO149899 Tea,1,1,https://i5.walmartimages.com/asr/504a838f-5897-4712-8521-39547902e1c6_1.9f8702e4ff9b327dc6985b415d119fff.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD6AWGQ1X67VC8,50,9,12/8/2022 6:18,18.59,
6E58M6ZVWZR6,PRD6E58M6ZVWZR6,Tetley® TAT15TE100 Tea,,,https://i5.walmartimages.com/asr/8c20f9c5-4bce-4e54-84a4-03f31107dd11.183e229a2d7486a1d9424b2130ffde86.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD6E58M6ZVWZR6,51,9,12/8/2022 6:18,31.64,
1G6AE6ADYDRS,PRD1G6AE6ADYDRS,"Zerodis Coffee Drip Pot, Tea Pot, 304 Stainless Steel For Tea Coffee",,,https://i5.walmartimages.com/asr/ce7c4da6-4f2a-40d7-a298-e6b87abdd730.778bb31eba1b70d655616abf2591d393.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD1G6AE6ADYDRS,52,9,12/8/2022 6:18,50.25,
3NAUT658GYY0,PRD3NAUT658GYY0,Steep By Bigelow Organic Green Tea with Ginger and Probiotics Tea Bags - 18/Box,,,https://i5.walmartimages.com/asr/36cba323-1641-477e-ad4f-f6b7c94f9b15.129b2493365f84249ea25d96d32f5ac2.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD3NAUT658GYY0,53,9,12/8/2022 6:18,33.99,
42KKE2F5S6WW,PRD42KKE2F5S6WW,Glass Teapot Blooming and Loose Leaf Tea Maker with Removable Filter Clear Tea,,,https://i5.walmartimages.com/asr/95ff0cc1-5b51-4f3f-a35f-ceea411851d1.7d703210a8008ed5acdda2059a6e6e05.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD42KKE2F5S6WW,54,9,12/8/2022 6:18,26.75,
1L05ENIBY2Y1,PRD1L05ENIBY2Y1,Large Capacity Glass Tea Pot and Cups for Iced Tea Cold/Hot Water Beverage,,,https://i5.walmartimages.com/asr/53738136-067f-488c-81ff-11f9701cd836.9a326e84c84e64f739045305a6319e4b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD1L05ENIBY2Y1,55,9,12/8/2022 6:18,69.13,
63PKTOPEMHON,PRD63PKTOPEMHON,Glass Teapot Infuser with Reindeer Base Teaware for Flower Tea fu Tea Coffee,,,https://i5.walmartimages.com/asr/dfc3bded-327f-49bc-9b18-e81756694e2e.ebef65acd7668d0553c795d81f5903a1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD63PKTOPEMHON,56,9,12/8/2022 6:18,42.95,
2Z0AFAU87PPY,PRD2Z0AFAU87PPY,Large Capacity Glass Tea Pot and Cups for Iced Tea Cold/Hot Water Beverage,,,https://i5.walmartimages.com/asr/53738136-067f-488c-81ff-11f9701cd836.9a326e84c84e64f739045305a6319e4b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD2Z0AFAU87PPY,57,9,12/8/2022 6:18,70.26,
0ZJ4HWNHO431,PRD0ZJ4HWNHO431,Large Capacity Glass Tea Pot and Cups for Iced Tea Cold/Hot Water Beverage,,,https://i5.walmartimages.com/asr/53738136-067f-488c-81ff-11f9701cd836.9a326e84c84e64f739045305a6319e4b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD0ZJ4HWNHO431,58,9,12/8/2022 6:18,69.98,
5IEGHFHA03K1,PRD5IEGHFHA03K1,"Tea Pot with Infusers for Loose Tea, Clear Glass Teapot with Removable 304 Strainer Steel Infuser,Stovetop Safe Tea Maker 600 ml/20 oz",,,https://i5.walmartimages.com/asr/02fbdb76-7fbe-4756-ae5d-4ea2bb790eec.18f77fe04ffb61ee77d95bddf4d18a45.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD5IEGHFHA03K1,59,9,12/8/2022 6:18,37.12,
4NK1UWTDSJRQ,PRD4NK1UWTDSJRQ,Stainless Steel Whistling Tea Pot with Wooden Handle Cooking Teapot Tea Coffee,,,https://i5.walmartimages.com/asr/22073d1a-9c07-490f-9086-ff6a1469fff5.d45a5c043e80d5c0e2503f96d29da65d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD4NK1UWTDSJRQ,1,9,12/8/2022 6:18,54.88,
3XNP9S18ZC3T,PRD3XNP9S18ZC3T,Lipton® LIPTJL00291 Tea,,,https://i5.walmartimages.com/asr/36d43eef-079b-4a2a-b371-cb11e2532176.5c2c5ad038108c19ac7e5f94cda3b732.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD3XNP9S18ZC3T,2,9,12/8/2022 6:18,26.53,
6AWGQ1X67VC8,PRD6AWGQ1X67VC8,Tazo TZO149899 Tea,1,1,https://i5.walmartimages.com/asr/504a838f-5897-4712-8521-39547902e1c6_1.9f8702e4ff9b327dc6985b415d119fff.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD6AWGQ1X67VC8,3,9,12/8/2022 6:18,18.59,
47SBKIJ508T2,PRD47SBKIJ508T2,Loyd Warming Tea Juicy Lemon with Ginger & Honey 40g (Pack of 3),,,https://i5.walmartimages.com/asr/3ea3d2b3-c88c-42b1-a62a-2c9f3aa0d339.e6555f8148f991442cee80962d2e671f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD47SBKIJ508T2,4,9,12/8/2022 6:18,3.3,
245PQVJ0HT9U,PRD245PQVJ0HT9U,"Tea Pot with Infusers for Loose Tea, Clear Glass Teapot with Removable 304 Strainer Steel Infuser,Stovetop Safe Tea Maker 600 ml/20 oz",,,https://i5.walmartimages.com/asr/2b57b46e-b27d-4590-bcc8-4959edf7886b.0ced870d6543903c70c40d55025f65b1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD245PQVJ0HT9U,5,9,12/8/2022 6:18,42.73,
74580VA3RZK6,PRD74580VA3RZK6,"Tea Pot with Infusers for Loose Tea, Clear Glass Teapot with Removable 304 Strainer Steel Infuser,Stovetop Safe Tea Maker 600 ml/20 oz",,,https://i5.walmartimages.com/asr/5bdabbb8-3459-4992-84da-495c565c4027.39cb1a59f1e51669ef04eb8ccfc4bd8f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD74580VA3RZK6,6,9,12/8/2022 6:18,42.73,
207XX3C80ISM,PRD207XX3C80ISM,"Glass Teapot with Infuser for Loose Tea, Clear Glass Tea Kettle Pot with Lid Kitchen for Tea Coffee Lemonade and Ice Teapot Easy to Clean",,,https://i5.walmartimages.com/asr/8db32a01-8ac7-43c9-b58e-3af597638483.3b47cdd3765fd16d7aee65617fc718de.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD207XX3C80ISM,7,9,12/8/2022 6:18,354.15,
3S7RKZ252YEC,PRD3S7RKZ252YEC,"Tea Pot with Infusers for Loose Tea, Clear Glass Teapot with Removable 304 Strainer Steel Infuser,Stovetop Safe Tea Maker 600 ml/20 oz",,,https://i5.walmartimages.com/asr/ffa07965-0664-4314-91da-c5ff1969f165.f9dbdff868154642220607a759770677.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD3S7RKZ252YEC,8,9,12/8/2022 6:18,37.12,
1YESAN8N81LR,66ARCRLKNAGW,Stylish Glass Teapot Loose Tea Leaf Infuser Tea Pot 260ml 300ml,,,https://i5.walmartimages.com/asr/f8df5b67-74a2-44cc-91b2-43baf122ff59.6895e6a19ea82326b578ae615e77e52c.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/66ARCRLKNAGW,9,9,12/8/2022 6:18,24.53,
7CQPZ7I0WUCJ,PRD7CQPZ7I0WUCJ,"Glass Tea Maker with Wooden Handle, Mini Glass Pitcher for Tea Glass Teapot",,,https://i5.walmartimages.com/asr/64d4355e-052b-48ed-92c6-b5ad0301aff0.a8f48eed4f4f87fc919f8219fa2e9d4b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD7CQPZ7I0WUCJ,10,9,12/8/2022 6:18,28.49,
51Z3VD3UQ0GZ,6WA2PWIJOYU9,Borosilicate Glass Teapot with Tea Strainer Heat Resistant Clear Tea Kettle 1000ml,,,https://i5.walmartimages.com/asr/bc7577d8-b6c3-4bb3-bb37-3309c7abc7fb.6c6b46978e6a7ec005f536d6b25c0ac7.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/6WA2PWIJOYU9,11,9,12/8/2022 6:18,34.59,
2JTE4MIKZANQ,PRD2JTE4MIKZANQ,Large Capacity Glass Tea Pot and Cups for Iced Tea Cold/Hot Water Beverage,,,https://i5.walmartimages.com/asr/50f5890f-0dbc-4ec8-934b-511e6ab08d1c.580ff2fc98ef3d40700695bd43aa2c19.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD2JTE4MIKZANQ,12,9,12/8/2022 6:18,68.24,
17Z66PVH29W5,PRD17Z66PVH29W5,Large Capacity Glass Tea Pot and Cups for Iced Tea Cold/Hot Water Beverage,,,https://i5.walmartimages.com/asr/53738136-067f-488c-81ff-11f9701cd836.9a326e84c84e64f739045305a6319e4b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD17Z66PVH29W5,13,9,12/8/2022 6:18,69.16,
1QFFJZ1ZX4WR,PRD1QFFJZ1ZX4WR,"Lipton Green Tea with Orange, Passion Fruit, and Jasmine Tea Bags - 28/Box",,,https://i5.walmartimages.com/asr/2a0a826d-b4ba-4ce7-bcff-5dc96a0d2795.c5670c5f86c4dc98066b609344b95a71.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,tea,https://www.walmart.ca/en/ip/PRD1QFFJZ1ZX4WR,14,9,12/8/2022 6:18,13.99,
